pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         4300057 function calls (4170202 primitive calls) in 6.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2639/1    0.019    0.000    6.017    6.017 {built-in method builtins.exec}
        1    0.004    0.004    6.017    6.017 train.py:1(<module>)
      550    0.035    0.000    2.246    0.004 training_arrays.py:45(model_iteration)
       20    0.001    0.000    2.209    0.110 train.py:111(simulate_entire_game)
      589    0.055    0.000    2.207    0.004 train.py:47(step)
      589    0.003    0.000    2.027    0.003 ai.py:36(predict_best_moves)
  2785/17    0.010    0.000    1.829    0.108 <frozen importlib._bootstrap>:978(_find_and_load)
   2566/8    0.008    0.000    1.828    0.229 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   2129/8    0.008    0.000    1.828    0.228 <frozen importlib._bootstrap>:663(_load_unlocked)
   1982/8    0.004    0.000    1.827    0.228 <frozen importlib._bootstrap_external>:722(exec_module)
   3477/8    0.002    0.000    1.827    0.228 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1034    0.026    0.000    1.664    0.002 backend.py:3250(__call__)
       25    0.001    0.000    1.648    0.066 __init__.py:15(<module>)
      530    0.010    0.000    1.642    0.003 training.py:962(predict)
   1582/8    0.003    0.000    1.488    0.186 {built-in method builtins.__import__}
25282/2901    0.014    0.000    1.348    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1034    0.003    0.000    1.254    0.001 session.py:1450(__call__)
     1034    1.251    0.001    1.251    0.001 {built-in method _pywrap_tensorflow_internal.TF_SessionRunCallable}
       20    0.000    0.000    1.204    0.060 train.py:115(train)
       20    0.008    0.000    1.202    0.060 ai.py:78(train)
        1    0.000    0.000    1.180    1.180 lstm_ai.py:1(<module>)
        3    0.001    0.000    1.053    0.351 __init__.py:25(<module>)
       20    0.001    0.000    0.867    0.043 training.py:428(fit)
      550    0.386    0.001    0.660    0.001 convnet_ai.py:86(worlds_to_np_array)
        1    0.000    0.000    0.536    0.536 convnet_ai.py:61(__init__)
        1    0.000    0.000    0.536    0.536 save.py:117(load_model)
        1    0.000    0.000    0.536    0.536 hdf5_format.py:142(load_model_from_hdf5)
3605/3489    0.044    0.000    0.478    0.000 {built-in method builtins.__build_class__}
   367/49    0.001    0.000    0.451    0.009 base.py:453(_method_wrapper)
       11    0.000    0.000    0.400    0.036 sequential.py:128(add)
     1047    0.005    0.000    0.396    0.000 backend.py:436(get_session)
       11    0.000    0.000    0.386    0.035 base_layer.py:512(__call__)
  564/534    0.025    0.000    0.382    0.001 op_def_library.py:355(_apply_op_helper)
15913/15869    0.082    0.000    0.350    0.000 layer_utils.py:42(filter_empty_layer_containers)
  795/776    0.007    0.000    0.340    0.000 deprecation.py:473(new_func)
        1    0.000    0.000    0.328    0.328 render.py:1(<module>)
        1    0.000    0.000    0.314    0.314 render.py:12(Renderer)
        1    0.000    0.000    0.314    0.314 lstm_ai.py:13(__init__)
   201164    0.288    0.000    0.290    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.287    0.287 pyplot.py:19(<module>)
     4346    0.008    0.000    0.270    0.000 network.py:531(layers)
        1    0.000    0.000    0.265    0.265 recurrent.py:612(__call__)
     1982    0.014    0.000    0.257    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3796    0.008    0.000    0.236    0.000 sequential.py:112(layers)
        1    0.000    0.000    0.234    0.234 recurrent.py:2529(call)
        1    0.000    0.000    0.234    0.234 recurrent.py:671(call)
        2    0.000    0.000    0.223    0.112 backend.py:3041(batch_set_value)
        1    0.000    0.000    0.221    0.221 backend.py:3518(rnn)
      131    0.001    0.000    0.220    0.002 __init__.py:1(<module>)
        1    0.001    0.001    0.219    0.219 standard_ops.py:17(<module>)
        1    0.000    0.000    0.215    0.215 hdf5_format.py:699(load_weights_from_hdf5_group)
  746/736    0.007    0.000    0.215    0.000 ops.py:3535(create_op)
       19    0.000    0.000    0.190    0.010 session.py:840(run)
       19    0.000    0.000    0.190    0.010 session.py:1084(_run)
      207    0.004    0.000    0.185    0.001 __init__.py:4(<module>)
       19    0.000    0.000    0.185    0.010 session.py:1310(_do_run)
       19    0.000    0.000    0.184    0.010 session.py:1354(_do_call)
       19    0.000    0.000    0.184    0.010 session.py:1337(_run_fn)
       10    0.000    0.000    0.184    0.018 __init__.py:16(<module>)
     3067    0.028    0.000    0.184    0.000 inspect.py:1089(getfullargspec)
2102/2093    0.003    0.000    0.181    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     1982    0.004    0.000    0.181    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        3    0.000    0.000    0.179    0.060 __init__.py:19(<module>)
     2479    0.004    0.000    0.175    0.000 tf_inspect.py:238(getfullargspec)
     1982    0.174    0.000    0.174    0.000 {built-in method marshal.loads}
     1047    0.006    0.000    0.173    0.000 backend.py:411(_get_session)
